suite,case,entry_point,sample,ms
timing,basic.rs,dprint,0,27.029292
timing,basic.rs,direct,0,20.313500
timing,basic.rs,direct,1,20.970042
timing,basic.rs,dprint,1,27.381083
timing,basic.rs,dprint,2,27.587125
timing,basic.rs,direct,2,25.574625
timing,basic.rs,direct,3,22.192667
timing,basic.rs,dprint,3,28.308958
timing,basic.rs,dprint,4,28.109666
timing,basic.rs,direct,4,21.085417
timing,basic.rs,direct,5,19.914041
timing,basic.rs,dprint,5,27.903375
timing,basic.rs,dprint,6,26.344250
timing,basic.rs,direct,6,19.272209
timing,basic.rs,direct,7,19.570125
timing,basic.rs,dprint,7,26.596958
timing,basic.rs,dprint,8,26.660000
timing,basic.rs,direct,8,18.794250
timing,basic.rs,direct,9,20.236375
timing,basic.rs,dprint,9,25.874000
timing,basic.rs,dprint,10,27.646792
timing,basic.rs,direct,10,19.642250
timing,basic.rs,direct,11,19.816209
timing,basic.rs,dprint,11,26.639208
timing,basic.rs,dprint,12,26.356417
timing,basic.rs,direct,12,20.763042
timing,basic.rs,direct,13,21.386500
timing,basic.rs,dprint,13,28.227166
timing,basic.rs,dprint,14,26.742042
timing,basic.rs,direct,14,20.105958
timing,basic.rs,direct,15,20.200625
timing,basic.rs,dprint,15,26.870250
timing,basic.rs,dprint,16,27.212125
timing,basic.rs,direct,16,19.655875
timing,basic.rs,direct,17,19.687125
timing,basic.rs,dprint,17,26.992958
timing,basic.rs,dprint,18,27.260583
timing,basic.rs,direct,18,20.056750
timing,basic.rs,direct,19,20.318167
timing,basic.rs,dprint,19,27.606416
timing,basic.rs,dprint,20,28.464958
timing,basic.rs,direct,20,20.320584
timing,basic.rs,direct,21,19.740584
timing,basic.rs,dprint,21,27.931500
timing,basic.rs,dprint,22,26.529250
timing,basic.rs,direct,22,19.957917
timing,basic.rs,direct,23,22.940125
timing,basic.rs,dprint,23,27.275458
timing,basic.rs,dprint,24,26.742125
timing,basic.rs,direct,24,20.170958
timing,basic.rs,direct,25,19.333625
timing,basic.rs,dprint,25,27.261333
timing,basic.rs,dprint,26,27.164042
timing,basic.rs,direct,26,19.035291
timing,basic.rs,direct,27,18.941625
timing,basic.rs,dprint,27,26.250333
timing,basic.rs,dprint,28,25.314500
timing,basic.rs,direct,28,19.517333
timing,basic.rs,direct,29,19.925000
timing,basic.rs,dprint,29,26.761375
timing,basic.rs,dprint,30,28.007375
timing,basic.rs,direct,30,20.052709
timing,basic.rs,direct,31,20.211208
timing,basic.rs,dprint,31,27.473292
timing,basic.rs,dprint,32,26.538625
timing,basic.rs,direct,32,19.752500
timing,basic.rs,direct,33,19.440333
timing,basic.rs,dprint,33,26.627416
timing,basic.rs,dprint,34,26.206375
timing,basic.rs,direct,34,20.030292
timing,basic.rs,direct,35,19.849417
timing,basic.rs,dprint,35,33.368375
timing,basic.rs,dprint,36,26.980084
timing,basic.rs,direct,36,20.206834
timing,basic.rs,direct,37,19.926166
timing,basic.rs,dprint,37,28.098041
timing,basic.rs,dprint,38,28.166209
timing,basic.rs,direct,38,20.381542
timing,basic.rs,direct,39,19.929666
timing,basic.rs,dprint,39,26.718666
timing,basic.rs,dprint,40,26.603209
timing,basic.rs,direct,40,19.828625
timing,basic.rs,direct,41,19.825292
timing,basic.rs,dprint,41,26.674833
timing,basic.rs,dprint,42,26.197708
timing,basic.rs,direct,42,19.281958
timing,basic.rs,direct,43,19.443292
timing,basic.rs,dprint,43,27.068417
timing,basic.rs,dprint,44,26.747083
timing,basic.rs,direct,44,19.531584
timing,basic.rs,direct,45,19.829250
timing,basic.rs,dprint,45,26.980917
timing,basic.rs,dprint,46,28.060167
timing,basic.rs,direct,46,20.348250
timing,basic.rs,direct,47,19.416667
timing,basic.rs,dprint,47,26.242292
timing,basic.rs,dprint,48,26.084667
timing,basic.rs,direct,48,19.159459
timing,basic.rs,direct,49,18.567000
timing,basic.rs,dprint,49,25.222458
timing,basic.rs,dprint,50,25.607834
timing,basic.rs,direct,50,19.231542
timing,basic.rs,direct,51,19.173792
